date,tb2 value
2022-01-01,47.79
2022-01-02,136.29
2022-01-03,138.06
2022-01-04,50.67
2022-01-05,62.57
2022-01-06,77.21
2022-01-07,96.28
2022-01-08,58.54
2022-01-09,49.22
2022-01-10,97.33
2022-01-11,81.72
2022-01-12,81.22
2022-01-13,71.06
2022-01-14,56.99
2022-01-15,68.21
2022-01-16,66.61
2022-01-17,121.01
2022-01-18,52.91
2022-01-19,41.75
2022-01-20,129.11
2022-01-21,210.19
2022-01-22,108.48
2022-01-23,34.03
2022-01-24,53.83
2022-01-25,37.29
2022-01-26,65.92
2022-01-27,86.96
2022-01-28,100.45
2022-01-29,84.74
2022-01-30,76.19
2022-01-31,108.61
