date,tb2 value
2022-01-01,85.17
2022-01-02,61.39
2022-01-03,70.63
2022-01-04,48.05
2022-01-05,28.58
2022-01-06,59.24
2022-01-07,592.98
2022-01-08,184.49
2022-01-09,51.08
2022-01-10,92.14
2022-01-11,74.78
2022-01-12,37.31
2022-01-13,112.32
2022-01-14,38.62
2022-01-15,116.09
2022-01-16,41.58
2022-01-17,60.36
2022-01-18,68.32
2022-01-19,33.61
2022-01-20,72.52
2022-01-21,92.78
2022-01-22,48.01
2022-01-23,25.20
2022-01-24,75.96
2022-01-25,44.18
2022-01-26,346.94
2022-01-27,36.66
2022-01-28,149.35
2022-01-29,226.34
2022-01-30,49.5
2022-01-31,160.92
