date,dam,rtm
2022-01-01 00:00:00,33.41,53.94
2022-01-01 00:15:00,33.41,125.73
2022-01-01 00:30:00,33.41,42.02
2022-01-01 00:45:00,33.41,35.75
2022-01-01 01:00:00,25.22,32.87
2022-01-01 01:15:00,25.22,31.65
2022-01-01 01:30:00,25.22,33.97
2022-01-01 01:45:00,25.22,31.3
2022-01-01 02:00:00,22.91,29.91
2022-01-01 02:15:00,22.91,25.11
2022-01-01 02:30:00,22.91,23.62
2022-01-01 02:45:00,22.91,23.52
2022-01-01 03:00:00,18.41,23.39
2022-01-01 03:15:00,18.41,22.74
2022-01-01 03:30:00,18.41,22.31
2022-01-01 03:45:00,18.41,21.23
2022-01-01 04:00:00,12.19,8.58
2022-01-01 04:15:00,12.19,13.12
2022-01-01 04:30:00,12.19,20.4
2022-01-01 04:45:00,12.19,21.69
2022-01-01 05:00:00,14.92,22.15
2022-01-01 05:15:00,14.92,15.64
2022-01-01 05:30:00,14.92,2.37
2022-01-01 05:45:00,14.92,13.93
2022-01-01 06:00:00,16,7.52
2022-01-01 06:15:00,16,4.02
2022-01-01 06:30:00,16,14.66
2022-01-01 06:45:00,16,19.73
2022-01-01 07:00:00,17,19.69
2022-01-01 07:15:00,17,9.06
2022-01-01 07:30:00,17,1.9
2022-01-01 07:45:00,17,14.13
2022-01-01 08:00:00,17.39,20.59
2022-01-01 08:15:00,17.39,19.66
2022-01-01 08:30:00,17.39,0.88
2022-01-01 08:45:00,17.39,-0.04
2022-01-01 09:00:00,18.63,-0.07
2022-01-01 09:15:00,18.63,-0.07
2022-01-01 09:30:00,18.63,1.14
2022-01-01 09:45:00,18.63,4.43
2022-01-01 10:00:00,20.86,20.4
2022-01-01 10:15:00,20.86,21.38
2022-01-01 10:30:00,20.86,22.36
2022-01-01 10:45:00,20.86,22.22
2022-01-01 11:00:00,24.44,22.38
2022-01-01 11:15:00,24.44,22.34
2022-01-01 11:30:00,24.44,22.42
2022-01-01 11:45:00,24.44,23.54
2022-01-01 12:00:00,25.02,23.98
2022-01-01 12:15:00,25.02,22.92
2022-01-01 12:30:00,25.02,24.93
2022-01-01 12:45:00,25.02,26.94
2022-01-01 13:00:00,25.88,25.1
2022-01-01 13:15:00,25.88,24.67
2022-01-01 13:30:00,25.88,26.69
2022-01-01 13:45:00,25.88,27.53
2022-01-01 14:00:00,25.28,26.33
2022-01-01 14:15:00,25.28,26.2
2022-01-01 14:30:00,25.28,26.94
2022-01-01 14:45:00,25.28,26.26
2022-01-01 15:00:00,23.59,23.56
2022-01-01 15:15:00,23.59,24.12
2022-01-01 15:30:00,23.59,27.51
2022-01-01 15:45:00,23.59,22.94
2022-01-01 16:00:00,29,22.13
2022-01-01 16:15:00,29,22.15
2022-01-01 16:30:00,29,22.04
2022-01-01 16:45:00,29,19.65
2022-01-01 17:00:00,41.49,21.09
2022-01-01 17:15:00,41.49,21.9
2022-01-01 17:30:00,41.49,22.18
2022-01-01 17:45:00,41.49,22.51
2022-01-01 18:00:00,29.11,22.55
2022-01-01 18:15:00,29.11,22.19
2022-01-01 18:30:00,29.11,22.22
2022-01-01 18:45:00,29.11,22.28
2022-01-01 19:00:00,26.11,22.45
2022-01-01 19:15:00,26.11,22.32
2022-01-01 19:30:00,26.11,22.21
2022-01-01 19:45:00,26.11,22.22
2022-01-01 20:00:00,23.36,22.21
2022-01-01 20:15:00,23.36,22.22
2022-01-01 20:30:00,23.36,22.18
2022-01-01 20:45:00,23.36,22.17
2022-01-01 21:00:00,23.29,22.19
2022-01-01 21:15:00,23.29,22.15
2022-01-01 21:30:00,23.29,22.13
2022-01-01 21:45:00,23.29,21.98
2022-01-01 22:00:00,24.38,21.65
2022-01-01 22:15:00,24.38,20.2
2022-01-01 22:30:00,24.38,20.25
2022-01-01 22:45:00,24.38,18.11
2022-01-01 23:00:00,23.79,18.51
2022-01-01 23:15:00,23.79,17.93
2022-01-01 23:30:00,23.79,16.58
2022-01-01 23:45:00,23.79,16.49
2022-01-02 00:00:00,26.63,12.39
2022-01-02 00:15:00,26.63,1.87
2022-01-02 00:30:00,26.63,11.6
2022-01-02 00:45:00,26.63,1.67
2022-01-02 01:00:00,24.79,9.58
2022-01-02 01:15:00,24.79,1.36
2022-01-02 01:30:00,24.79,17.18
2022-01-02 01:45:00,24.79,4.39
2022-01-02 02:00:00,23.85,2.21
2022-01-02 02:15:00,23.85,0.73
2022-01-02 02:30:00,23.85,13.2
2022-01-02 02:45:00,23.85,14.04
2022-01-02 03:00:00,22.81,20.31
2022-01-02 03:15:00,22.81,17.56
2022-01-02 03:30:00,22.81,4.61
2022-01-02 03:45:00,22.81,3.57
2022-01-02 04:00:00,23.59,7.56
2022-01-02 04:15:00,23.59,9.03
2022-01-02 04:30:00,23.59,18.48
2022-01-02 04:45:00,23.59,20.65
2022-01-02 05:00:00,25.76,21.72
2022-01-02 05:15:00,25.76,21.8
2022-01-02 05:30:00,25.76,22.09
2022-01-02 05:45:00,25.76,22.32
2022-01-02 06:00:00,30.29,22.37
2022-01-02 06:15:00,30.29,22.56
2022-01-02 06:30:00,30.29,22.7
2022-01-02 06:45:00,30.29,22.63
2022-01-02 07:00:00,38.11,22.75
2022-01-02 07:15:00,38.11,22.83
2022-01-02 07:30:00,38.11,22.98
2022-01-02 07:45:00,38.11,23.35
2022-01-02 08:00:00,46.77,23.41
2022-01-02 08:15:00,46.77,23.55
2022-01-02 08:30:00,46.77,23.38
2022-01-02 08:45:00,46.77,23.49
2022-01-02 09:00:00,37.65,22.53
2022-01-02 09:15:00,37.65,22.86
2022-01-02 09:30:00,37.65,23.84
2022-01-02 09:45:00,37.65,23.46
2022-01-02 10:00:00,35.47,23.57
2022-01-02 10:15:00,35.47,24.25
2022-01-02 10:30:00,35.47,24.73
2022-01-02 10:45:00,35.47,27.34
2022-01-02 11:00:00,35,28.54
2022-01-02 11:15:00,35,27.07
2022-01-02 11:30:00,35,26.4
2022-01-02 11:45:00,35,25.3
2022-01-02 12:00:00,31.33,23.86
2022-01-02 12:15:00,31.33,22.71
2022-01-02 12:30:00,31.33,22.58
2022-01-02 12:45:00,31.33,22.54
2022-01-02 13:00:00,27.45,22.52
2022-01-02 13:15:00,27.45,22.5
2022-01-02 13:30:00,27.45,22.29
2022-01-02 13:45:00,27.45,21.59
2022-01-02 14:00:00,26.33,21.01
2022-01-02 14:15:00,26.33,20.48
2022-01-02 14:30:00,26.33,20.11
2022-01-02 14:45:00,26.33,19.85
2022-01-02 15:00:00,25.84,19.35
2022-01-02 15:15:00,25.84,19.27
2022-01-02 15:30:00,25.84,19.53
2022-01-02 15:45:00,25.84,20.43
2022-01-02 16:00:00,31.4,20.88
2022-01-02 16:15:00,31.4,21.49
2022-01-02 16:30:00,31.4,23.08
2022-01-02 16:45:00,31.4,24.64
2022-01-02 17:00:00,84.63,27.81
2022-01-02 17:15:00,84.63,31.17
2022-01-02 17:30:00,84.63,37.06
2022-01-02 17:45:00,84.63,44.86
2022-01-02 18:00:00,98.07,37.27
2022-01-02 18:15:00,98.07,36.91
2022-01-02 18:30:00,98.07,37.78
2022-01-02 18:45:00,98.07,39.01
2022-01-02 19:00:00,72.65,38.15
2022-01-02 19:15:00,72.65,37.92
